id_card,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20120337,0,,,,,,,,
e20100055,450,2057,200,5663,250,,,,
e20110267,450,1762,200,4837,250,,,e20110267,
e20100352,450,3452,200,5563,250,,,,
e20100537,450,2642,200,5487,250,,,,
e20100132,450,3168,200,5258,250,,,,
e20100345,450,2805,200,5698,250,,,,
e20100169,450,2139,200,5632,250,,,,
e20100280,225,2436,125,5646,100,,,,
e20120495,500,5736,500,,,,,,
e20110408,225,3370,225,,,,,e20110408,
,450,,,,,,,,
e20100667,450,,,,,,,,
e20100341,450,1193,225,3531,225,,,,
e20100376,450,2648,250,5449,200,,,,
e20110374,450,3171,150,5197,250,,,e20110374,
e20100018,450,2763,225,5079,225,,,,
e20100186,450,2643,225,5477,225,,,,
e20100422,450,2798,150,5382,300,,,,
e20100153,450,1419,450,,,,,,
e20100406,450,2470,300,4364,150,,,,
e20100687,450,2734,225,3792,225,,,,
,,,,,,,,e20100074,
e20110079,450,1340,450,,,,,e20110079,
e20100106,450,2395,450,,,,,,
e20131225,225,3197,225,,,,,,
e20110595,450,2713,225,,,,,e20110595,
e20121241,450,65,450,,,,,,
e20100389,450,,,,,,,,
e20100038,450,2696,225,5403,225,,,e2009012,
e20120601,550,,,,,,,,
e20100976,450,3318,200,3346,250,,,,
e20100190,0,,,,,,,,
e20100298,450,4666,100,5771,350,,,,
e20110348,450,2991,225,5040,225,,,e20110348,
e20100348,450,3107,250,5383,200,,,,
e20100206,0,,,,,,,,
e2008434,450,,,,,,,,
e20100431,450,1395,200,5118,250,,,,
e20110672,450,2684,250,4717,200,,,e20110672,
e20100293,0,,,,,,,,
e20100208,225,1917,100,5633,125,,,,
e20100662,225,1529,100,4823,125,,,,
e20130721,550,2534,250,4667,300,,,,
e20100057,450,2582,100,5719,350,,,,
e20100277,450,5564,450,,,,,,
e20100128,0,,,,,,,,
e20100198,450,3774,400,5115,50,,,,
e20100487,450,1912,250,3529,200,,,,
e20120689,500,,,,,,,,
e20120543,500,5248,500,,,,,,
e20110547,450,2961,225,4710,225,,,e20110547,
e20100289,225,2477,100,4803,125,,,,
e20100643,0,,,,,,,,
e20140909,300,1143,150,,,,,,
e20100174,450,3350,200,4788,250,,,,
e2009487,450,,,,,,,e2009487,
e20120026,500,1426,500,,,,,,
e20110296,450,2363,225,4427,225,,,e20110296,
e20100336,450,2628,250,5597,200,,,,
e20100167,450,3296,450,,,,,,
e20100158,225,1712,225,,,,,,
e2009265,450,2955,220,5229,230,,,,
e20100420,450,3463,200,5478,250,,,,
e20100627,450,2333,450,,,,,,
e20100568,450,5002,450,,,,,,
e20100099,450,2917,220,3921,230,,,e20100099,
e2009418,225,,,,,,,e2009418,
e20100520,450,2576,200,4868,250,,,,
e20121240,450,2823,450,,,,,,
e20100529,450,2496,450,,,,,,
e20100262,0,,,,,,,,
e20100202,450,3128,450,,,,,,
e20110560,450,1243,225,3866,225,,,e20110560,
e20140866,250,1105,125,2343,125,,,,
e20120199,250,1439,250,,,,,,
e20110054,450,3196,225,5295,225,,,e20110054,
e20100435,450,4549,450,,,,,e20100435,
e20100236,450,1423,200,4456,250,,,,
e20100117,450,3253,200,5254,250,,,,
e20100500,0,,,,,,,,
e20100464,450,2433,250,5591,200,,,,
e20100807,225,2593,225,,,,,,
e20121227,450,2836,225,4877,225,,,,
e20110312,450,1165,225,4758,225,,,e20110312,
e20100281,450,3023,200,5268,250,,,,
e20100470,450,2424,225,5337,225,,,,
e20100618,450,2685,150,5484,300,,,,
,300,,,,,,,,
e20100039,450,,,,,,,,
e20100077,225,1279,225,,,,,,
e20100577,225,2634,225,,,,,,
e20100137,,,,,,,,,
e20100052,450,,,,,,,,
e2009408,450,1872,450,,,,,,
,450,,,,,,,,
,450,,,,,,,,
,450,4506,450,,,,,e20110167,
,200,1387,200,,,,,,
e20100588,450,1214,250,4192,200,,,,
e20100173,450,3352,150,,,,,,
e20110535,450,3093,225,5058,225,,,e20110535,
e2009478,450,,,,,,,,
,450,,,,,,,,
e20100378,450,3351,200,5080,250,,,,
e20131192,225,3219,125,5009,100,,,e20131191,
e20110552,450,3102,225,5431,225,,,e20110552,
e20100507,450,1998,225,5090,225,,,,
e20100048,450,2491,200,4629,250,,,,
e20100650,450,,,,,,,,
e20110037,500,,,,,,,,
e20110429,450,2587,225,4030,225,,,e20110429,
e20100617,450,1835,225,5618,225,,,,
e20110427,450,,,,,,,e20110427,
e20120558,0,,,,,,,,
e20100608,450,2697,200,4891,250,,,,
e20100502,450,2346,250,5339,200,,,,
e2009416,225,,,,,,,e2009416,
e20100070,450,3470,150,5147,300,,,,
e20100640,225,2527,100,5450,125,,,,
e20100526,450,1830,450,,,,,,
e20100087,450,2611,200,5609,250,,,,
e20100557,450,3216,225,5433,225,,,,
e20100209,450,1460,225,4872,225,,,,
e20100061,450,2205,450,,,,,,
e20100335,450,2194,200,4800,250,,,,
e20110246,450,2074,200,5390,250,,,e20110246,
e20121243,225,1692,225,,,,,,
e20100246,450,2381,150,4895,300,,,,
e20100603,450,1316,200,3680,250,,,,
e20121233,225,2035,100,4911,125,,,,
