id_card,academic_year_id,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e2009495,2014,450,768,250,5151,200,,,,
e2009567,2014,450,2106,225,5408,225,,,,
e2009031,2014,450,2156,150,5320,300,,,,
e2009040,2014,450,2923,450,,,,,,
e2009482,2014,450,1795,50,5529,300,5895,100,,
e2009427,2014,450,4180,450,,,,,,
e2009312,2014,450,4169,450,,,,,,
e20100496,2014,450,3729,450,,,,,,
e2009467,2014,0,,,,,,,,
e2008467,2014,450,5817,450,,,,,,
e20111081,2014,450,3308,225,5830,225,,,,
e20111076,2014,225,2809,100,4616,125,,,,
e20100458,2014,450,5704,450,,,,,,
e20110829,2014,200,2202,100,5677,100,,,,
e20100320,2014,450,5616,450,,,,,,
e2009531,2014,450,4182,450,,,,,,
e2008169,2014,450,1642,250,5638,200,,,,
e2009405,2014,450,2764,225,4761,225,,,,
e2009398,2014,0,,,,,,,,
e20100308,2014,450,2458,450,,,,,,
e2009335,2014,450,2649,225,5751,225,,,,
e2009397,2014,450,1867,225,5681,225,,,,
e20121121,2014,250,1549,125,5804,125,,,,
e2009479,2014,450,3435,400,5883,50,,,,
e20100078,2014,450,3694,250,5072,200,,,,
e20100654,2014,450,2421,250,5199,200,,,,
e2009111,2014,0,,,,,,,,
e2009155,2014,450,3178,220,5440,230,,,,
e2009126,2014,450,3154,200,5604,250,,,,
e2009154,2014,225,4103,100,5877,125,,,,
e2009594,2014,450,2993,230,,,,,,
e2009450,2014,225,2407,225,,,,,,
e2009146,2014,450,4162,450,,,,,,
e2009361,2014,450,4172,450,,,,,,
e2009331,2014,450,2748,250,4922,200,,,,
e2009187,2014,450,2240,450,,,,,,
e2009003,2014,450,2625,200,4828,250,,,,
e2009343,2014,450,3314,200,5275,250,,,,
e2009101,2014,450,3251,225,5948,225,,,,
e2009543,2014,225,2692,225,,,,,,
e2009095,2014,450,3311,150,5886,300,,,,
e20110842,2014,0,,,,,,,,
e20100225,2014,450,2565,225,3962,225,,,,
e20100476,2014,225,2385,225,,,,,,
e20121238,2014,450,3331,225,,187.5,5706,37.5,,
e2009381,2014,450,3182,225,5554,225,,,,
e2009360,2014,450,3464,450,,,,,,
e2009268,2014,450,2520,225,4636,225,,,,
e2009170,2014,450,2292,200,5803,250,,,,
e2009098,2014,450,2370,200,5588,250,,,,
e20131091,2014,200,1335,100,5866,100,,,,
e2009404,2014,450,2500,120,5846,330,,,,
e2009593,2014,450,3477,225,5736,225,,,,
e2009557,2014,450,1794,225,3778,225,,,,
e20100015,2014,450,2113,225,4932,225,,,,
e2009014,2014,450,2892,230,5731,220,,,,
e20100272,2014,450,5708,450,,,,,,
e20100138,2014,450,2760,100,2891,250,,100,,
e20100722,2014,450,3370,250,5655,200,,,,
e2009158,2014,0,,,,,,,,
e20100144,2014,450,2851,225,4774,225,,,,
e2009422,2014,450,4177,450,,,,,,
e20100867,2014,225,2666,225,,,,,,
e2009081,2014,450,2972,225,5634,225,,,,
e2009263,2014,450,3347,200,5569,250,,,,
e20100483,2014,0,,,,,,,,
e2009386,2014,450,3612,450,,,,,,
e2009425,2014,450,3475,225,5746,225,,,,
e2009448,2014,225,3911,100,,,,,,
e20100589,2014,225,2728,225,,,,,,
e2009248,2014,450,3283,200,5387,250,,,,
e2009100,2014,450,3221,200,5559,250,,,,
e2009130,2014,450,2605,225,5472,225,,,,
,2014,0,,,,,,,,
e20100131,2014,450,2108,225,5161,225,,,,
e2009301,2014,450,1577,200,5734,250,,,,
e2009605,2014,450,4186,450,,,,,,
e2009247,2014,450,1609,450,,,,,,
e20121228,2014,0,,,,,,,,
e2009353,2014,450,3121,450,,,,,,
e20100012,2014,450,4481,300,47801,150,,,,
e2009433,2014,450,2694,225,4,225,,,,
e2009157,2014,450,3324,200,5874,250,,,,
e20100567,2014,0,,,,,,,,
e2009332,2014,450,3495,200,5912,250,,,,
e20100373,2014,450,3187,225,5313,225,,,,
e2009440,2014,225,2983,225,,,,,,
e2009550,2014,450,2575,225,3972,225,,,,
e2009396,2014,450,3181,220,5829,230,,,,
e20130999,2014,300,1158,300,,,,,,
e2009236,2014,450,2772,250,5238,200,,,,
